!def(FEAT_GUI_W32),
def(FEAT_BEVAL),
def(PROTO),
def(JUMPLIST_ROTATE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI),
def(FEAT_GUI_W32),
def(FEAT_PROFILE),
def(FEAT_TOOLBAR),
def(MAIN),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WSDEBUG_TRACE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_JOB_CHANNEL),
def(LESSTIF_VERSION),
!def(FEAT_GUI_GTK),
def(DEBUG),
True,
def(WSDEBUG_SENSE),
def(FEAT_TERMRESPONSE),
def(FEAT_SUN_WORKSHOP),
def(_WIN32),
!def(FEAT_PROFILE),
def(WIN32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(__MINT__),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(NBDEBUG),
def(INET_SOCKETS),
def(WSDEBUG),
!def(INET_SOCKETS),
