!def(NO_CONSOLE),
def(LESSTIF_VERSION),
def(FEAT_MBYTE),
def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
!def(EBCDIC),
!def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_W32),
def(RISCOS),
def(FEAT_GUI),
def(MCH_WRITE_DUMP),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(NBDEBUG),
def(FEAT_FKMAP),
def(FEAT_BEVAL),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_MBYTE),
!def(RISCOS),
def(FEAT_TOOLBAR),
!def(PROTO),
True,
def(EBCDIC),
def(WSDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(DEBUG),
!def(FEAT_BEVAL),
def(__BORLANDC__),
