!def(FEAT_GUI_GTK),
def(FEAT_TERMGUICOLORS),
True,
def(WSDEBUG),
def(INET_SOCKETS),
def(_WIN32),
!def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_GUI),
def(FEAT_JOB_CHANNEL),
def(LESSTIF_VERSION),
def(WIN32),
def(FEAT_GUI_W32),
def(FEAT_GUI_GTK),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
!def(INET_SOCKETS),
def(FEAT_TOOLBAR),
def(__MINT__),
def(DEBUG),
def(PROTO),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(MAIN),
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
def(NBDEBUG),
def(FEAT_TERMRESPONSE),
