!def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
def(PROTO),
def(__BORLANDC__),
def(WSDEBUG_SENSE),
def(FEAT_TERMRESPONSE),
True,
def(INET_SOCKETS),
def(FEAT_MBYTE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(PROTO),
def(FEAT_CLIPBOARD),
!def(FEAT_GUI_GTK),
def(NBDEBUG),
!def(FEAT_BEVAL),
def(WSDEBUG),
!def(NO_CONSOLE),
!def(INET_SOCKETS),
def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
def(DEBUG),
def(FEAT_TOOLBAR),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI),
def(FEAT_BEVAL),
def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_RIGHTLEFT),
def(LESSTIF_VERSION),
def(FEAT_FKMAP),
def(MCH_WRITE_DUMP),
