!def(EBCDIC),
def(FEAT_MBYTE),
def(DEBUG),
def(JUMPLIST_ROTATE),
(!def(FEAT_BEVAL)&def(NOIME)),
def(FEAT_TOOLBAR),
def(FEAT_GUI_W32),
def(FEAT_DND),
!def(NO_CONSOLE),
!def(RISCOS),
def(FEAT_GUI),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
def(EBCDIC),
(def(FEAT_MBYTE)&!def(NO_CONSOLE)),
(!def(FEAT_GUI_MOTIF)&!def(FEAT_GUI_GTK)&def(FEAT_GUI_W32)),
!def(LESSTIF_VERSION),
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),
def(LESSTIF_VERSION),
True,
!def(FEAT_GUI_W32),
def(FEAT_RIGHTLEFT),
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),
def(FEAT_TERMRESPONSE),
!def(FEAT_BEVAL),
