!def(INET_SOCKETS),
def(MAIN),
def(PROTO),
def(FEAT_GUI),
def(FEAT_BEVAL),
def(WSDEBUG),
!def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_TRACE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(DEBUG),
def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
def(_WIN32),
def(NBDEBUG),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_SENSE),
def(WIN32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_GTK),
True,
def(INET_SOCKETS),
!def(NO_CONSOLE),
