(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
True,!def(HAVE_MEMRCHR)
True,def(__riscos__)
!def(CURL_DISABLE_FTP),True
(def(_LDAP_PVT_H)&!def(USE_SSL)),True
def(DEBUGBUILD),True
True,def(CURLRES_SYNCH)
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
(def(HAVE_FDOPEN)&def(CURLDEBUG)),def(CURLDEBUG)
def(CURLDEBUG),True
!def(CURL_DISABLE_DICT),True
!def(CURL_DISABLE_RTSP),True
def(CURL_DISABLE_HTTP),True
True,def(__AMIGA__)
!def(CURL_DISABLE_HTTP),True
def(__riscos__),def(CURLDEBUG)
True,def(CURL_DOES_CONVERSIONS)
!def(CURL_DISABLE_HTTP),(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP))
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),True
!def(DEBUGBUILD),True
