(!def(NO_FILESYSTEM)&def(USE_CYASSL)),def(USE_CYASSL)
def(CURL_DOES_CONVERSIONS),True
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),True
def(DISABLE_EXPECT),True
(def(USE_WIN32_IDN)&!def(WANT_IDN_PROTOTYPES)),True
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
def(USE_POLARSSL),!def(HAVE_INET_PTON)
!def(CURL_DISABLE_LIBCURL_OPTION),True
True,!def(DEBUGBUILD)
!def(CURL_DISABLE_FTP),True
True,def(__VMS)
!def(CURL_DISABLE_PROXY),True
!def(CURL_DISABLE_CRYPTO_AUTH),True
!def(__EMX__),True
def(DEBUGBUILD),True
def(CURL_DISABLE_HTTP),True
(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED)),True
!def(CURL_DISABLE_RTSP),True
def(USE_CHUNKED),True
True,!def(HAVE_INET_NTOP)
True,!def(HAVE_MEMRCHR)
!def(CURL_DISABLE_HTTP),(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP))
!def(CURL_DISABLE_GOPHER),True
def(USE_CYASSL),(!def(NO_FILESYSTEM)&def(USE_CYASSL))
!def(CURL_DISABLE_HTTP),True
True,def(__riscos__)
True,def(CURL_DOES_CONVERSIONS)
!def(USE_WINDOWS_SSPI),True
True,def(__AMIGA__)
True,(def(__VMS)&!def(HAVE_GETPASS_R))
!def(CURL_DISABLE_HTTP),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP))
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),True
True,(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY)))
def(__VMS),True
True,!def(__EMX__)
!def(CURL_DISABLE_HTTP),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI)))
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
(def(ENABLE_IPV6)&def(USE_POLARSSL)),!def(HAVE_INET_PTON)
def(__riscos__),True
True,def(DEBUGBUILD)
!def(HAVE_INET_NTOP),True
def(USE_CHUNKED),def(DISABLE_EXPECT)
True,!def(CURL_DISABLE_HTTP)
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(CURL_DISABLE_HTTP)|!def(USE_WINDOWS_SSPI))),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP))
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),True
def(USE_NTLM),!def(USE_WINDOWS_SSPI)
(def(_LDAP_PVT_H)&!def(USE_SSL)),True
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),(def(DEBUGBUILD)&!def(USE_WINDOWS_SSPI)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&!def(CURL_DISABLE_HTTP)&def(WINBIND_NTLM_AUTH_ENABLED))
(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP)&(def(USE_WINDOWS_SSPI)|def(CURL_DISABLE_HTTP)|!def(USE_SSLEAY))&def(WINBIND_NTLM_AUTH_ENABLED)),True
(def(WIN32)&!def(__AMIGA__)),True
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),def(CURL_DOES_CONVERSIONS)
!def(CURL_DISABLE_DICT),True
def(HAVE_SOCKETPAIR),True
!def(USE_WINDOWS_SSPI),(!def(USE_WINDOWS_SSPI)&!def(CURL_DISABLE_HTTP))
def(HAVE_FDOPEN),True
True,(!def(USE_WINDOWS_SSPI)&!def(USE_SSLEAY)&!def(CURL_DISABLE_HTTP))
True,!def(HAVE_STRTOK_R)
def(USE_POLARSSL),(def(ENABLE_IPV6)&def(USE_POLARSSL))
def(DISABLE_EXPECT),def(USE_CHUNKED)
True,!def(CURL_DISABLE_LIBCURL_OPTION)
(def(ENABLE_IPV6)&def(USE_POLARSSL)),def(USE_POLARSSL)
!def(DEBUGBUILD),True
!def(CURL_DISABLE_TFTP),True
def(USE_CYASSL),True
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),!def(HAVE_INET_NTOP)
def(USE_NTLM),True
