!def(CURL_DISABLE_HTTP),(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP))
def(DEBUGBUILD),True
def(CURLDEBUG),True
True,!def(HAVE_MEMRCHR)
True,def(__riscos__)
!def(CURL_DISABLE_HTTP),True
!def(CURL_DISABLE_FTP),True
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
def(__riscos__),def(CURLDEBUG)
(def(_LDAP_PVT_H)&!def(USE_SSL)),True
!def(CURL_DISABLE_DICT),True
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
!def(DEBUGBUILD),True
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),True
!def(CURL_DISABLE_RTSP),True
True,def(__AMIGA__)
True,def(CURLRES_SYNCH)
def(CURL_DISABLE_HTTP),True
True,def(CURL_DOES_CONVERSIONS)
(def(HAVE_FDOPEN)&def(CURLDEBUG)),def(CURLDEBUG)
