(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
True,!def(HAVE_MEMRCHR)
True,def(__AMIGA__)
(def(ENABLE_IPV6)&def(USE_POLARSSL)),(def(ENABLE_IPV6)&!def(HAVE_INET_PTON))
True,def(LIB585)
!def(CURL_DISABLE_HTTP),True
def(CURLDEBUG),True
(def(HAVE_FDOPEN)&def(CURLDEBUG)),def(CURLDEBUG)
def(CURL_DOES_CONVERSIONS),True
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
True,def(__riscos__)
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),True
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),!def(HAVE_INET_NTOP)
def(__riscos__),def(CURLDEBUG)
def(USE_POLARSSL),(def(ENABLE_IPV6)&!def(HAVE_INET_PTON))
!def(CURL_DISABLE_HTTP),def(CURL_DOES_CONVERSIONS)
!def(HAVE_INET_NTOP),True
def(DEBUGBUILD),True
def(ENABLE_IPV6),def(LIB585)
!def(CURL_DISABLE_GOPHER),True
def(CURLDEBUG),def(LIB585)
!def(DEBUGBUILD),True
True,!def(CURL_DISABLE_HTTP)
def(__riscos__),True
True,(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP))
(def(ENABLE_IPV6)&!def(HAVE_INET_NTOP)),True
def(CURL_DISABLE_HTTP),True
!def(CURL_DISABLE_HTTP),(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP))
!def(WANT_IDN_PROTOTYPES),True
!def(CURL_DISABLE_FTP),True
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),True
!def(CURL_DISABLE_RTSP),True
!def(CURL_DISABLE_DICT),True
True,def(CURL_DOES_CONVERSIONS)
(def(HAVE_ICONV)&def(CURL_DOES_CONVERSIONS)),def(CURL_DOES_CONVERSIONS)
(def(_LDAP_PVT_H)&!def(USE_SSL)),True
def(USE_CYASSL),True
!def(CURL_DISABLE_PROXY),True
