!def(CURL_DISABLE_HTTP),(def(_FORM_DEBUG)&!def(CURL_DISABLE_HTTP))
def(USE_ENVIRONMENT),True
(def(CURL_COOKIE_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
def(TEST_DECODE),True
def(DPRINTF_DEBUG),True
(def(KRB4)&!def(CURL_DISABLE_FTP)),True
(def(HAVE_FIONBIO)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
def(_NETRC_DEBUG),True
def(TEST),True
!def(CURL_DISABLE_HTTP),True
True,!def(CURL_DISABLE_HTTP)
def(TEST_ENCODE),True
True,def(DEBUG)
def(WIN32),True
(def(_OLD_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),True
def(DPRINTF_DEBUG2),True
(def(HAVE_O_NONBLOCK)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
!def(WIN32),True
def(HAVE_LIBZ),True
!def(CURL_DISABLE_HTTP),!def(HAVE_STRTOK_R)
def(DEBUG),True
(def(_OLD_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
def(ENABLE_IPV6),True
(def(_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),True
True,!def(WIN32)
(def(_FORM_DEBUG)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
def(KRB4),True
def(MALLOCDEBUG),True
def(WIN32),!def(WIN32)
True,def(MALLOCDEBUG)
def(USE_SSLEAY),True
