!def(WIN32),
(!def(WITH_SYS_TREE)&def(WITH_BRIDGE)),
def(WITH_THREADING),
def(WITH_TLS),
(def(WITH_TLS)&!def(REAL_WITH_TLS_PSK)),
def(WITH_WRAP),
def(WITH_BRIDGE),
def(WITH_TLS_PSK),
def(WITH_SOCKS),
!def(WITH_BROKER),
(def(WITH_BROKER)&!def(WITH_WEBSOCKETS)),
(!def(REAL_WITH_TLS_PSK)&!def(WITH_BROKER)&def(WIN32)),
def(WIN32),
(!def(WITH_BROKER)&def(WITH_THREADING)),
(!def(REAL_WITH_TLS_PSK)&def(WIN32)),
!def(WITH_TLS),
(def(WITH_BROKER)&!def(WITH_SYS_TREE)),
True,
(!def(REAL_WITH_TLS_PSK)&!def(WIN32)),
def(WITH_SYS_TREE),
(!def(REAL_WITH_TLS_PSK)&!def(WITH_BROKER)&(!def(WIN32)|def(WITH_BROKER))),
(def(WITH_BRIDGE)&def(WITH_BROKER)&(!def(WITH_SYS_TREE)|!def(WITH_BROKER))),
def(WITH_SRV),
def(WITH_PERSISTENCE),
def(WITH_WEBSOCKETS),
(!def(REAL_WITH_TLS_PSK)&!def(WITH_BROKER)),
!def(WITH_WEBSOCKETS),
def(WITH_BROKER),
(def(WITH_WEBSOCKETS)&def(WITH_BROKER)),
