(!def(WITH_BRIDGE)&def(WITH_SYS_TREE)),
def(WITH_THREADING),
def(WITH_BROKER),
!def(WITH_TLS),
def(WITH_TLS),
def(WIN32),
def(WITH_SYS_TREE),
def(WITH_SRV),
def(WITH_PERSISTENCE),
(!def(WITH_BROKER)&def(WITH_THREADING)),
!def(WIN32),
(def(WITH_BRIDGE)&def(WITH_BROKER)&(!def(WITH_SYS_TREE)|!def(WITH_BROKER))),
(def(WITH_WEBSOCKETS)&def(WITH_SYS_TREE)),
(def(WITH_BRIDGE)&def(WITH_SYS_TREE)),
(!def(WITH_SYS_TREE)&def(WITH_BRIDGE)),
!def(WITH_BRIDGE),
(def(WITH_BROKER)&!def(WITH_SYS_TREE)),
True,
(!def(WITH_WEBSOCKETS)&def(WITH_SYS_TREE)),
!def(WITH_BROKER),
def(WITH_WEBSOCKETS),
def(WITH_WRAP),
def(WITH_BRIDGE),
!def(WITH_WEBSOCKETS),
