!def(WITH_WEBSOCKETS),
def(WITH_TLS),
(def(WITH_BRIDGE)&def(WITH_BROKER)&(!def(WITH_BROKER)|def(WITH_BRIDGE))),
(!def(REAL_WITH_TLS_PSK)&!def(WITH_BROKER)&(!def(WIN32)|def(WITH_BROKER))),
def(WITH_WRAP),
def(WITH_BROKER),
def(WITH_SOCKS),
!def(WITH_TLS),
(!def(WITH_BROKER)&def(WITH_THREADING)),
(!def(REAL_WITH_TLS_PSK)&!def(WIN32)),
!def(WITH_UUID),
(!def(REAL_WITH_TLS_PSK)&!def(WITH_BROKER)&def(WIN32)),
def(WITH_BRIDGE),
(!def(REAL_WITH_TLS_PSK)&def(WIN32)),
(def(WITH_BROKER)&!def(WITH_WEBSOCKETS)),
def(WITH_TLS_PSK),
(def(WITH_TLS)&!def(REAL_WITH_TLS_PSK)&def(WITH_BROKER)),
def(WITH_THREADING),
(def(WITH_TLS)&!def(REAL_WITH_TLS_PSK)),
!def(WIN32),
def(WITH_PERSISTENCE),
(def(WITH_WEBSOCKETS)&def(WITH_BROKER)),
(def(WITH_TLS)&!def(REAL_WITH_TLS_PSK)&(!def(WITH_BROKER)|!def(WITH_TLS))),
!def(WITH_BROKER),
(!def(REAL_WITH_TLS_PSK)&!def(WITH_BROKER)),
def(WITH_WEBSOCKETS),
def(WIN32),
(!def(WITH_BROKER)|def(WITH_BRIDGE)),
def(WITH_SRV),
def(WITH_SYS_TREE),
(def(WITH_TLS)&!def(REAL_WITH_TLS_PSK)&(!def(REAL_WITH_TLS_PSK)|!def(WITH_TLS))),
True,
(def(REAL_WITH_TLS_PSK)&def(WITH_TLS)),
(def(WITH_BROKER)&!def(WITH_BRIDGE)),
def(WITH_UUID),
