def(WITH_SOCKS),
!def(WIN32),
(def(WITH_BROKER)&!def(WITH_BRIDGE)),
(def(WITH_BRIDGE)&def(WITH_BROKER)&(!def(WITH_BROKER)|def(WITH_BRIDGE))),
(!def(WITH_BROKER)&def(WITH_THREADING)),
(def(WITH_BROKER)&!def(WITH_WEBSOCKETS)),
!def(WITH_WEBSOCKETS),
def(WIN32),
def(WITH_THREADING),
(def(WITH_TLS)&!def(REAL_WITH_TLS_PSK)),
def(WITH_TLS_PSK),
(def(WITH_TLS)&!def(REAL_WITH_TLS_PSK)&def(WITH_BROKER)),
def(WITH_WEBSOCKETS),
!def(WITH_BROKER),
def(WITH_BRIDGE),
(!def(REAL_WITH_TLS_PSK)&!def(WIN32)),
def(WITH_WRAP),
(!def(REAL_WITH_TLS_PSK)&!def(WITH_BROKER)&(!def(WIN32)|def(WITH_BROKER))),
(!def(REAL_WITH_TLS_PSK)&!def(WITH_BROKER)&def(WIN32)),
def(WITH_BROKER),
True,
(!def(WITH_BROKER)|def(WITH_BRIDGE)),
!def(WITH_TLS),
def(WITH_SYS_TREE),
def(WITH_PERSISTENCE),
(def(WITH_WEBSOCKETS)&def(WITH_BROKER)),
def(WITH_TLS),
(!def(REAL_WITH_TLS_PSK)&!def(WITH_BROKER)),
(!def(REAL_WITH_TLS_PSK)&def(WIN32)),
(def(WITH_TLS)&!def(REAL_WITH_TLS_PSK)&(!def(WITH_BROKER)|!def(WITH_TLS))),
def(WITH_SRV),
