(!def(WITH_BROKER)&def(WITH_THREADING)),
(def(WITH_TLS)&!def(REAL_WITH_TLS_PSK)&def(WITH_BROKER)),
(!def(REAL_WITH_TLS_PSK)&!def(WIN32)),
def(WITH_THREADING),
!def(WITH_WEBSOCKETS),
(!def(REAL_WITH_TLS_PSK)&!def(WITH_BROKER)&(!def(WIN32)|def(WITH_BROKER))),
!def(WITH_BROKER),
(def(WITH_TLS)&!def(REAL_WITH_TLS_PSK)&(!def(WITH_BROKER)|!def(WITH_TLS))),
(def(WITH_BROKER)&!def(WITH_BRIDGE)),
def(WITH_WRAP),
def(WITH_TLS_PSK),
def(WITH_TLS),
def(WIN32),
(def(WITH_BROKER)&!def(WITH_WEBSOCKETS)),
def(WITH_SOCKS),
!def(WITH_TLS),
(def(WITH_TLS)&!def(REAL_WITH_TLS_PSK)),
(!def(REAL_WITH_TLS_PSK)&def(WIN32)),
(!def(REAL_WITH_TLS_PSK)&!def(WITH_BROKER)&def(WIN32)),
!def(WITH_UUID),
(def(WITH_BRIDGE)&def(WITH_BROKER)&(!def(WITH_BROKER)|def(WITH_BRIDGE))),
(def(WITH_TLS)&!def(REAL_WITH_TLS_PSK)&(!def(REAL_WITH_TLS_PSK)|!def(WITH_TLS))),
True,
def(WITH_WEBSOCKETS),
(def(WITH_WEBSOCKETS)&def(WITH_BROKER)),
def(WITH_UUID),
def(WITH_SRV),
def(WITH_BROKER),
def(WITH_PERSISTENCE),
(!def(REAL_WITH_TLS_PSK)&!def(WITH_BROKER)),
def(WITH_BRIDGE),
!def(WIN32),
def(WITH_SYS_TREE),
(def(REAL_WITH_TLS_PSK)&def(WITH_TLS)),
(!def(WITH_BROKER)|def(WITH_BRIDGE)),
