def(WITH_SRV),
!def(WIN32),
True,
!def(WITH_UUID),
def(WITH_UUID),
def(WITH_THREADING),
def(WITH_BRIDGE),
(def(WITH_BROKER)&!def(WITH_WEBSOCKETS)),
def(WITH_PERSISTENCE),
(def(REAL_WITH_TLS_PSK)&def(WITH_TLS)),
def(WITH_SOCKS),
!def(WITH_BROKER),
!def(WITH_WEBSOCKETS),
(!def(WITH_TLS)&(!def(WITH_SYS_TREE)|!def(WITH_BROKER))&def(WIN32)),
(!def(WITH_BROKER)|def(WITH_BRIDGE)),
def(WITH_TLS),
(def(WITH_BROKER)&!def(WITH_BRIDGE)),
(def(WITH_WEBSOCKETS)&def(WITH_BROKER)),
!def(WITH_TLS),
(def(WITH_BRIDGE)&!def(__linux__)&(!def(__linux__)|!def(WITH_BRIDGE))),
def(WITH_SYS_TREE),
(def(WITH_TLS)&!def(REAL_WITH_TLS_PSK)&(!def(REAL_WITH_TLS_PSK)|!def(WITH_TLS))),
(def(WITH_BRIDGE)&def(WITH_BROKER)&(!def(WITH_BROKER)|def(WITH_BRIDGE))),
def(WIN32),
(def(__linux__)&def(WITH_BRIDGE)),
def(WITH_BROKER),
(def(WITH_TLS)&(!def(WITH_SYS_TREE)|!def(WITH_BROKER))&def(WIN32)),
def(WITH_TLS_PSK),
def(WITH_WEBSOCKETS),
(!def(WITH_BROKER)&def(WITH_THREADING)),
def(WITH_WRAP),
