def(WITH_TLS_PSK),
(def(WITH_BRIDGE)&def(WITH_BROKER)&(!def(WITH_BROKER)|def(WITH_BRIDGE))),
!def(WITH_WEBSOCKETS),
True,
(def(WITH_BROKER)&!def(WITH_BRIDGE)),
def(WITH_PERSISTENCE),
!def(WITH_BROKER),
def(WITH_SOCKS),
(def(WITH_TLS)&!def(REAL_WITH_TLS_PSK)&(!def(REAL_WITH_TLS_PSK)|!def(WITH_TLS))),
def(WITH_BRIDGE),
def(WITH_WRAP),
def(WITH_BROKER),
(def(WITH_WEBSOCKETS)&def(WITH_BROKER)),
def(WITH_WEBSOCKETS),
def(WITH_THREADING),
def(WIN32),
(def(WITH_BRIDGE)&!def(__linux__)&(!def(__linux__)|!def(WITH_BRIDGE))),
!def(WITH_UUID),
!def(WITH_TLS),
!def(WITH_SRV),
(def(REAL_WITH_TLS_PSK)&def(WITH_TLS)),
def(WITH_UUID),
(def(WITH_BROKER)&!def(WITH_WEBSOCKETS)),
(!def(WITH_BROKER)|def(WITH_BRIDGE)),
(def(WITH_TLS_PSK)&def(WITH_TLS)),
def(WITH_SYS_TREE),
(!def(WITH_BROKER)&def(WITH_THREADING)),
def(WITH_SRV),
!def(WIN32),
(def(__linux__)&def(WITH_BRIDGE)),
def(WITH_TLS),
