def(LIBXML_C14N_ENABLED),
(def(LIBXML_OUTPUT_ENABLED)&def(LIBXML_HTML_ENABLED)),
def(LIBXML_REGEXP_ENABLED),
def(LIBXML_VALID_ENABLED),
True,
def(WITH_PRINT),
def(NOT_USED_YET),
def(LIBXML_UNICODE_ENABLED),
def(LIBXML_HTML_ENABLED),
def(LIBXML_SCHEMAS_ENABLED),
def(LIBXML_SAX1_ENABLED),
