"Sistema","Media","Mediana","Min","Max","Desvio"
"Vim",22.4858408523043,1.00861111111111,0,140.287361111111,54.8253495488857
"PaceMaker",1039.8497625969,586.715555555556,0.683888888888889,3745.83597222222,1355.24131670652
"LibXML",896.081894194757,338.018888888889,0,3844.22220833333,1436.24356124642
"Lighttpd",2012.96083723197,1014.46194444444,5.39194444444444,7085.83555555556,2646.67649128533
"Collectd",659.217351598174,249.175,0,3345.2,1268.46709607858
"Syslog",856.133169472503,543.481111111111,0.650277777777778,2974.92916666667,1087.51896030733
"CCache",1900.0370030303,914.5,0.211111111111111,8070.96905555555,2997.83544739895
"Gzip",9003.29416666667,5264.08888888889,49.4686111111111,21615.2216666667,8909.16108424368
"LibNFC",1915.43293650794,1146.29361111111,101.765833333333,7672.26333333333,2856.87766767678
"LibSSH",1861.79182183908,1459.35972222222,286.293055555556,5925.77738888888,2017.84992724585
"LibrsKakfka",1757.53063398693,1026.74722222222,0,7227.98244444444,2704.47785571413
"Mosquitto",1574.84767995169,1271.4625,26.9563888888889,4512.02138888889,1564.57821112345
"MPSolve",6228.66177777778,727.540555555556,16.0766666666667,25306.0494444444,9714.02757172799
"OpenVPN",1265.9933795045,727.83625,0.0322222222222222,4416.77555555556,1628.72511640245
"Ossec",2204.28921820175,1015.54875,0.00666666666666667,8834.43148611111,3262.03568272509
"PianoBar",2875.51406763285,1817.37972222222,45.7533333333333,9780.96344444444,3476.76474103203
"SilverSearcher",1056.7878179669,740.718333333333,0.410833333333333,3535.31702777778,1280.35780778312
"GNUPlot",6433.94881436314,4052.6025,141.530277777778,20982.9833333333,7373.99827839597
"OpenSC",2547.84385011574,504.002083333333,123.181666666667,10109.5470972222,3802.90768983672
"Dia",1395.89774134791,389.527777777778,0.701666666666667,5851.73166666667,2208.41170373987
"Uwsgi",1395.89774134791,389.527777777778,0.701666666666667,5851.73166666667,2208.41170373987
"MapServer",851.238744107744,305.020277777778,0.00111111111111111,3365.20255555555,1250.17032908544
"Hexchat",3090.31925347222,1516.72125,77.3941666666667,11031.2138888889,4023.99156163829
"Totem",534.049843347639,358.338333333333,0,1840.98955555555,661.853308287521
"Curl",915.002737430168,970.123888888889,0.804722222222222,2634.34277777778,937.455194171447
"Sylpheed",1044.94761892361,753.143472222222,1.175,3518.62190277778,1276.29484408843
