True,!def(USE_BUGGY_LIBXML)
def(MSG_LOG),True
def(DOT_FSA_ACTIONS),True
def(FSA_TRACE),True
!def(USE_BUGGY_LIBXML),True
!def(DOT_ALL_FSA_INPUTS),True
def(DOT_ALL_FSA_INPUTS),True
