"index","Possible","variabilities","sumFunc","FAdd","FExc","FPar","FTyp","FMod","FEsp","FQua","sumVar","VAdd","VExc","VTyp","VMod","VEsp","VQua"
1217,3,2,2,1,1,0,0,0,0,0,3,1,2,0,0,0,0
1229,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1258,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1424,4,3,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0
1461,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1474,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1560,4,2,2,1,1,0,0,0,0,0,4,3,1,0,0,0,0
1604,4,2,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0
176,2,2,1,1,0,0,0,0,0,0,4,4,0,0,0,0,0
1807,3,3,2,0,2,0,0,0,0,0,5,3,2,0,0,0,0
1972,3,3,2,1,1,0,0,0,0,0,4,1,3,0,0,0,0
2261,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2278,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2329,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2337,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2488,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
257,2,2,1,0,1,0,0,0,0,0,4,0,4,0,0,0,0
26,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
2623,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2740,3,2,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0
2855,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2912,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2927,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2963,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3085,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3101,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
3221,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3234,2,2,2,1,0,0,0,0,1,0,6,3,3,0,0,0,0
3314,3,3,6,6,0,0,0,0,0,0,3,3,0,0,0,0,0
3315,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3316,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3317,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3318,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3319,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3320,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3321,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3322,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3323,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3324,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3325,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3326,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3327,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3328,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3329,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3330,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3331,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3332,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3333,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3334,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3335,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3336,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3337,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3338,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3339,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3340,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3341,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3342,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3343,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3344,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3345,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3346,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3347,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3348,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3349,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3350,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3351,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3352,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3353,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3354,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3355,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3356,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3357,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3358,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3359,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3360,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
