def(HAVE_DLFCN_H),
!def(USE_PKCS15_INIT),
def(ATR_SUPPORT),
def(RANDOM_POOL),
def(VERSION),
True,
def(HAVE_OPENSSL),
def(notused),
!def(HAVE_DLFCN_H),
!def(VERSION),
def(HAVE_SETUTENT),
!def(_WIN32),
def(_WIN32),
!def(HAVE_OPENSSL),
def(notdef),
def(USE_PKCS15_INIT),
def(HAVE_READLINE),
def(DEBUG),
