!def(_WIN32),
def(VERSION),
def(HAVE_READLINE),
!def(HAVE_OPENSSL),
def(notdef),
def(HAVE_SETUTENT),
def(_WIN32),
def(ATR_SUPPORT),
def(USE_PKCS15_INIT),
def(HAVE_DLFCN_H),
def(HAVE_OPENSSL),
def(notused),
!def(VERSION),
True,
!def(USE_PKCS15_INIT),
def(RANDOM_POOL),
def(DEBUG),
!def(HAVE_DLFCN_H),
