def(HAVE_SETUTENT),
True,
!def(VERSION),
def(RANDOM_POOL),
def(HAVE_READLINE),
def(HAVE_OPENSSL),
def(notdef),
def(ATR_SUPPORT),
!def(HAVE_OPENSSL),
def(VERSION),
def(DEBUG),
