!def(HAVE_OPENSSL),
def(HAVE_SETUTENT),
True,
def(HAVE_READLINE),
def(ATR_SUPPORT),
def(HAVE_OPENSSL),
def(DEBUG),
def(VERSION),
def(notdef),
def(RANDOM_POOL),
!def(VERSION),
