!def(HAVE_OPENSSL),
def(ATR_SUPPORT),
def(HAVE_SETUTENT),
def(HAVE_OPENSSL),
def(VERSION),
def(HAVE_READLINE),
!def(VERSION),
True,
def(DEBUG),
def(notdef),
def(RANDOM_POOL),
