def(HAVE_DLFCN_H),
!def(HAVE_OPENSSL),
def(USE_PKCS15_INIT),
def(notdef),
def(_WIN32),
!def(VERSION),
def(HAVE_READLINE),
def(HAVE_SETUTENT),
!def(HAVE_DLFCN_H),
!def(USE_PKCS15_INIT),
True,
def(ATR_SUPPORT),
def(notused),
def(HAVE_OPENSSL),
def(DEBUG),
def(VERSION),
def(RANDOM_POOL),
!def(_WIN32),
