!def(_WIN32),
!def(USE_PKCS15_INIT),
def(ATR_SUPPORT),
def(_WIN32),
def(DEBUG),
def(notused),
def(HAVE_OPENSSL),
def(HAVE_DLFCN_H),
def(notdef),
!def(HAVE_DLFCN_H),
True,
def(HAVE_SETUTENT),
!def(HAVE_OPENSSL),
def(USE_PKCS15_INIT),
def(VERSION),
!def(VERSION),
def(RANDOM_POOL),
def(HAVE_READLINE),
