def(notused),
def(_WIN32),
def(RANDOM_POOL),
def(DEBUG),
!def(HAVE_OPENSSL),
!def(_WIN32),
!def(HAVE_DLFCN_H),
!def(USE_PKCS15_INIT),
def(ATR_SUPPORT),
!def(VERSION),
def(HAVE_OPENSSL),
def(VERSION),
True,
def(HAVE_DLFCN_H),
def(USE_PKCS15_INIT),
def(HAVE_SETUTENT),
def(HAVE_READLINE),
def(notdef),
