def(HAVE_DLFCN_H),
def(_WIN32),
def(notdef),
def(HAVE_READLINE),
!def(HAVE_OPENSSL),
def(HAVE_SETUTENT),
def(notused),
!def(USE_PKCS15_INIT),
def(RANDOM_POOL),
def(HAVE_OPENSSL),
def(USE_PKCS15_INIT),
!def(_WIN32),
def(VERSION),
!def(VERSION),
def(ATR_SUPPORT),
True,
!def(HAVE_DLFCN_H),
def(DEBUG),
