!def(HAVE_OPENSSL),
def(notdef),
!def(VERSION),
True,
def(ATR_SUPPORT),
!def(USE_PKCS15_INIT),
def(DEBUG),
!def(_WIN32),
def(RANDOM_POOL),
def(_WIN32),
def(VERSION),
!def(HAVE_DLFCN_H),
def(USE_PKCS15_INIT),
def(HAVE_SETUTENT),
def(notused),
def(HAVE_OPENSSL),
def(HAVE_READLINE),
def(HAVE_DLFCN_H),
