!def(HAVE_OPENSSL),
def(ATR_SUPPORT),
def(HAVE_SETUTENT),
True,
def(HAVE_READLINE),
!def(VERSION),
def(RANDOM_POOL),
def(DEBUG),
def(notdef),
def(HAVE_OPENSSL),
def(VERSION),
