def(notused),
def(_WIN32),
!def(VERSION),
!def(_WIN32),
True,
def(notdef),
def(HAVE_READLINE),
def(HAVE_DLFCN_H),
def(DEBUG),
!def(HAVE_OPENSSL),
def(ATR_SUPPORT),
def(HAVE_OPENSSL),
!def(HAVE_DLFCN_H),
def(HAVE_SETUTENT),
!def(USE_PKCS15_INIT),
def(USE_PKCS15_INIT),
def(VERSION),
def(RANDOM_POOL),
