!def(HAVE_OPENSSL),
def(ATR_SUPPORT),
def(HAVE_READLINE),
def(DEBUG),
def(VERSION),
!def(_WIN32),
!def(VERSION),
def(HAVE_SETUTENT),
def(HAVE_OPENSSL),
!def(USE_PKCS15_INIT),
def(_WIN32),
def(notdef),
def(RANDOM_POOL),
def(USE_PKCS15_INIT),
True,
