!def(HAVE_OPENSSL),
!def(VERSION),
def(HAVE_SETUTENT),
def(USE_PKCS15_INIT),
def(_WIN32),
def(notdef),
!def(USE_PKCS15_INIT),
def(VERSION),
def(RANDOM_POOL),
!def(_WIN32),
True,
def(DEBUG),
def(HAVE_READLINE),
def(notused),
def(ATR_SUPPORT),
def(HAVE_OPENSSL),
