!def(HAVE_OPENSSL),
def(HAVE_SETUTENT),
def(notdef),
def(VERSION),
def(DEBUG),
def(ATR_SUPPORT),
!def(USE_PKCS15_INIT),
def(HAVE_OPENSSL),
def(HAVE_READLINE),
def(RANDOM_POOL),
True,
!def(VERSION),
def(USE_PKCS15_INIT),
