def(HAVE_SETUTENT),
def(VERSION),
!def(VERSION),
def(ATR_SUPPORT),
def(HAVE_READLINE),
def(USE_PKCS15_INIT),
def(notdef),
def(HAVE_OPENSSL),
def(_WIN32),
def(RANDOM_POOL),
def(notused),
!def(_WIN32),
True,
!def(HAVE_OPENSSL),
!def(USE_PKCS15_INIT),
def(DEBUG),
