def(TFTP_SUPPORT),
def(ECMD_SUPPORT),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(YPORT_SUPPORT),
def(UECMD_SUPPORT),
def(MODBUS_SUPPORT),
True,
def(PORTIO_SUPPORT),
def(CLOCK_SUPPORT),
def(DATAFLASH_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(HD44780_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(DYNDNS_SUPPORT),
!def(HD44780_SUPPORT),
