def(DATAFLASH_SUPPORT),
def(ECMD_SENDER_SUPPORT),
!def(HD44780_SUPPORT),
def(UECMD_SUPPORT),
def(YPORT_SUPPORT),
def(PORTIO_SUPPORT),
def(DEBUG),
def(DYNDNS_SUPPORT),
def(MODBUS_SUPPORT),
def(TFTP_SUPPORT),
def(CLOCK_SUPPORT),
!def(BOOTLOADER_SUPPORT),
True,
def(HD44780_SUPPORT),
