def(YPORT_SUPPORT),
True,
def(DYNDNS_SUPPORT),
def(PORTIO_SUPPORT),
def(DEBUG),
def(CLOCK_SUPPORT),
def(TFTP_SUPPORT),
def(ECMD_SENDER_SUPPORT),
!def(BOOTLOADER_SUPPORT),
!def(HD44780_SUPPORT),
def(MODBUS_SUPPORT),
def(DATAFLASH_SUPPORT),
def(HD44780_SUPPORT),
def(UECMD_SUPPORT),
