def(HD44780_SUPPORT),
def(MODBUS_SUPPORT),
def(DATAFLASH_SUPPORT),
True,
def(ECMD_SENDER_SUPPORT),
!def(HD44780_SUPPORT),
def(DEBUG),
def(UECMD_SUPPORT),
def(YPORT_SUPPORT),
def(CLOCK_SUPPORT),
def(NAMED_PIN_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(DYNDNS_SUPPORT),
def(TFTP_SUPPORT),
