def(DYNDNS_SUPPORT),
def(CLOCK_SUPPORT),
def(HD44780_SUPPORT),
def(DEBUG),
def(YPORT_SUPPORT),
def(UECMD_SUPPORT),
True,
def(MODBUS_SUPPORT),
def(USB_NET_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(PORTIO_SUPPORT),
def(DATAFLASH_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(TFTP_SUPPORT),
!def(HD44780_SUPPORT),
