def(DYNDNS_SUPPORT),
def(HD44780_SUPPORT),
def(MODBUS_SUPPORT),
def(PORTIO_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(TFTP_SUPPORT),
def(ECMD_SENDER_SUPPORT),
True,
def(CLOCK_SUPPORT),
def(UECMD_SUPPORT),
!def(HD44780_SUPPORT),
def(DEBUG),
def(DATAFLASH_SUPPORT),
def(YPORT_SUPPORT),
