def(PORTIO_SUPPORT),
def(DATAFLASH_SUPPORT),
def(CLOCK_SUPPORT),
True,
def(MODBUS_SUPPORT),
def(HD44780_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(YPORT_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(DEBUG),
def(DYNDNS_SUPPORT),
def(TFTP_SUPPORT),
!def(HD44780_SUPPORT),
def(UECMD_SUPPORT),
