!def(BOOTLOADER_SUPPORT),
def(DYNDNS_SUPPORT),
True,
def(ECMD_PARSER_SUPPORT),
!def(HD44780_SUPPORT),
def(ECMD_SUPPORT),
def(MODBUS_SUPPORT),
def(DATAFLASH_SUPPORT),
def(YPORT_SUPPORT),
def(CLOCK_SUPPORT),
def(HD44780_SUPPORT),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(PORTIO_SUPPORT),
def(TFTP_SUPPORT),
def(UECMD_SUPPORT),
