def(YPORT_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(UECMD_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(ROUTER_SUPPORT),
def(TFTP_SUPPORT),
True,
!def(HD44780_SUPPORT),
def(PORTIO_SUPPORT),
def(CLOCK_SUPPORT),
def(DATAFLASH_SUPPORT),
def(HD44780_SUPPORT),
def(MODBUS_SUPPORT),
def(DEBUG),
def(DYNDNS_SUPPORT),
