def(DYNDNS_SUPPORT),
def(HD44780_SUPPORT),
(def(TCP_SUPPORT)&def(ECMD_SENDER_SUPPORT)&(!def(ECMD_SENDER_SUPPORT)|def(TCP_SUPPORT))),
def(MODBUS_SUPPORT),
True,
def(ECMD_SUPPORT),
!def(HD44780_SUPPORT),
def(UECMD_SUPPORT),
def(DEBUG),
!def(BOOTLOADER_SUPPORT),
def(CLOCK_SUPPORT),
def(TFTP_SUPPORT),
def(YPORT_SUPPORT),
def(DATAFLASH_SUPPORT),
def(PORTIO_SUPPORT),
