def(UECMD_SUPPORT),
def(DATAFLASH_SUPPORT),
True,
!def(BOOTLOADER_SUPPORT),
def(DEBUG),
def(YPORT_SUPPORT),
def(TFTP_SUPPORT),
def(HD44780_SUPPORT),
def(PORTIO_SUPPORT),
!def(HD44780_SUPPORT),
def(CLOCK_SUPPORT),
def(DYNDNS_SUPPORT),
def(MODBUS_SUPPORT),
def(ECMD_SENDER_SUPPORT),
