def(DATAFLASH_SUPPORT),
def(HD44780_SUPPORT),
True,
!def(BOOTLOADER_SUPPORT),
def(CLOCK_SUPPORT),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(TFTP_SUPPORT),
def(YPORT_SUPPORT),
(def(TCP_SUPPORT)&def(ECMD_SENDER_SUPPORT)&(!def(ECMD_SENDER_SUPPORT)|def(TCP_SUPPORT))),
def(PORTIO_SUPPORT),
def(ECMD_SUPPORT),
def(DYNDNS_SUPPORT),
def(UECMD_SUPPORT),
!def(HD44780_SUPPORT),
def(MODBUS_SUPPORT),
