def(HD44780_SUPPORT),
!def(HD44780_SUPPORT),
def(TFTP_SUPPORT),
True,
!def(BOOTLOADER_SUPPORT),
def(NAMED_PIN_SUPPORT),
def(CLOCK_SUPPORT),
def(DEBUG),
def(DATAFLASH_SUPPORT),
def(YPORT_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(MODBUS_SUPPORT),
def(DYNDNS_SUPPORT),
def(UECMD_SUPPORT),
