def(UECMD_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(TFTP_SUPPORT),
True,
def(CLOCK_SUPPORT),
def(YPORT_SUPPORT),
!def(HD44780_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(DEBUG),
def(DATAFLASH_SUPPORT),
def(DYNDNS_SUPPORT),
def(HD44780_SUPPORT),
def(NAMED_PIN_SUPPORT),
def(MODBUS_SUPPORT),
