def(YPORT_SUPPORT),
!def(HD44780_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(HD44780_SUPPORT),
def(DYNDNS_SUPPORT),
def(CLOCK_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(DATAFLASH_SUPPORT),
def(UECMD_SUPPORT),
def(TFTP_SUPPORT),
def(DEBUG),
def(MODBUS_SUPPORT),
def(PORTIO_SUPPORT),
True,
