def(PORTIO_SUPPORT),
True,
def(DATAFLASH_SUPPORT),
def(HD44780_SUPPORT),
def(TFTP_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(CLOCK_SUPPORT),
def(UECMD_SUPPORT),
!def(HD44780_SUPPORT),
(def(TCP_SUPPORT)&def(ECMD_SENDER_SUPPORT)&(!def(ECMD_SENDER_SUPPORT)|def(TCP_SUPPORT))),
def(MODBUS_SUPPORT),
def(ECMD_SUPPORT),
def(DEBUG),
def(YPORT_SUPPORT),
def(DYNDNS_SUPPORT),
