def(ECMD_SENDER_SUPPORT),
def(TFTP_SUPPORT),
def(CLOCK_SUPPORT),
def(YPORT_SUPPORT),
def(UECMD_SUPPORT),
def(DYNDNS_SUPPORT),
!def(HD44780_SUPPORT),
def(HD44780_SUPPORT),
def(DATAFLASH_SUPPORT),
def(MODBUS_SUPPORT),
def(SYSLOG_SUPPORT),
True,
!def(BOOTLOADER_SUPPORT),
def(DEBUG),
def(NAMED_PIN_SUPPORT),
