def(CLOCK_SUPPORT),
def(MODBUS_SUPPORT),
!def(BOOTLOADER_SUPPORT),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(DATAFLASH_SUPPORT),
def(HD44780_SUPPORT),
def(TFTP_SUPPORT),
def(DYNDNS_SUPPORT),
def(KTY_SUPPORT),
True,
def(ECMD_SUPPORT),
!def(HD44780_SUPPORT),
(def(TCP_SUPPORT)&def(ECMD_SENDER_SUPPORT)&(!def(ECMD_SENDER_SUPPORT)|def(TCP_SUPPORT))),
def(YPORT_SUPPORT),
def(UECMD_SUPPORT),
def(PORTIO_SUPPORT),
