def(UECMD_SUPPORT),
def(PSOCK_SUPPORT),
def(TFTP_SUPPORT),
def(HD44780_SUPPORT),
def(DATAFLASH_SUPPORT),
def(CLOCK_SUPPORT),
def(NAMED_PIN_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(DYNDNS_SUPPORT),
True,
!def(HD44780_SUPPORT),
def(NTPD_SUPPORT),
def(YPORT_SUPPORT),
def(MODBUS_SUPPORT),
def(DEBUG),
