def(MODBUS_SUPPORT),
def(DATAFLASH_SUPPORT),
def(ECMD_SUPPORT),
def(PORTIO_SUPPORT),
def(DYNDNS_SUPPORT),
def(HD44780_SUPPORT),
def(YPORT_SUPPORT),
def(TFTP_SUPPORT),
def(CLOCK_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(ECMD_PARSER_SUPPORT),
True,
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
(def(STELLA_RESPONSE_ACK)&def(STELLA_SUPPORT)),
def(DNS_SUPPORT),
!def(HD44780_SUPPORT),
def(UECMD_SUPPORT),
