def(ECMD_SENDER_SUPPORT),
def(MODBUS_SUPPORT),
True,
def(HD44780_SUPPORT),
def(UECMD_SUPPORT),
def(DEBUG),
!def(HD44780_SUPPORT),
def(CLOCK_SUPPORT),
def(DATAFLASH_SUPPORT),
def(PORTIO_SUPPORT),
def(DYNDNS_SUPPORT),
def(YPORT_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(TFTP_SUPPORT),
