def(DATAFLASH_SUPPORT),
!def(BOOTLOADER_SUPPORT),
!def(HD44780_SUPPORT),
def(UECMD_SUPPORT),
def(HD44780_SUPPORT),
def(DYNDNS_SUPPORT),
def(CLOCK_SUPPORT),
def(PORTIO_SUPPORT),
(def(TCP_SUPPORT)&def(ECMD_SENDER_SUPPORT)&(!def(ECMD_SENDER_SUPPORT)|def(TCP_SUPPORT))),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(MODBUS_SUPPORT),
def(TFTP_SUPPORT),
def(ECMD_SUPPORT),
True,
def(YPORT_SUPPORT),
