!def(BOOTLOADER_SUPPORT),
def(CLOCK_SUPPORT),
def(DATAFLASH_SUPPORT),
!def(HD44780_SUPPORT),
def(TFTP_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(YPORT_SUPPORT),
def(DEBUG),
def(HD44780_SUPPORT),
def(NAMED_PIN_SUPPORT),
def(MODBUS_SUPPORT),
def(UECMD_SUPPORT),
True,
def(DYNDNS_SUPPORT),
