def(TFTP_SUPPORT),
def(PORTIO_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(YPORT_SUPPORT),
!def(HD44780_SUPPORT),
def(DYNDNS_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(DEBUG),
def(UECMD_SUPPORT),
def(CLOCK_SUPPORT),
def(MODBUS_SUPPORT),
True,
def(HD44780_SUPPORT),
def(DATAFLASH_SUPPORT),
