def(DATAFLASH_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(YPORT_SUPPORT),
!def(HD44780_SUPPORT),
def(DEBUG),
def(HD44780_SUPPORT),
True,
def(CLOCK_SUPPORT),
def(UECMD_SUPPORT),
def(NAMED_PIN_SUPPORT),
def(TFTP_SUPPORT),
def(DYNDNS_SUPPORT),
def(MODBUS_SUPPORT),
