def(MODBUS_SUPPORT),
def(DATAFLASH_SUPPORT),
(def(STELLA_RESPONSE_ACK)&def(STELLA_SUPPORT)),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(DNS_SUPPORT),
True,
def(UECMD_SUPPORT),
def(PORTIO_SUPPORT),
!def(HD44780_SUPPORT),
def(ECMD_PARSER_SUPPORT),
def(CLOCK_SUPPORT),
def(MCUF_MODUL_BORG16_INVADERS_SUPPORT),
def(DYNDNS_SUPPORT),
def(YPORT_SUPPORT),
def(ECMD_SUPPORT),
def(HD44780_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(TFTP_SUPPORT),
